session_id,timestamp,source,device,converted
804,2024-06-04 07:55:00,search,mobile,0
4584,2024-06-21 12:07:00,social,mobile,1
2149,2024-06-10 12:34:00,email,desktop,1
8205,2024-07-06 07:30:00,search,desktop,0
6441,2024-06-29 17:14:00,ad,mobile,0
1471,2024-06-07 09:24:00,search,mobile,0
10054,2024-07-13 16:20:00,search,desktop,0
2101,2024-06-10 15:21:00,search,tablet,1
10300,2024-07-15 16:36:00,social,mobile,0
4822,2024-06-22 14:04:00,ad,mobile,0
6628,2024-06-30 12:15:00,social,desktop,0
5020,2024-06-23 08:20:00,ad,mobile,0
9887,2024-07-13 08:14:00,ad,mobile,0
4059,2024-06-19 12:39:00,social,mobile,0
7630,2024-07-04 14:05:00,ad,mobile,0
1209,2024-06-06 17:14:00,search,mobile,0
10339,2024-07-15 07:20:00,search,mobile,0
2628,2024-06-12 17:52:00,social,mobile,0
10186,2024-07-14 12:31:00,ad,mobile,1
3335,2024-06-16 13:30:00,search,mobile,0
5646,2024-06-26 11:52:00,email,mobile,0
9378,2024-07-11 17:54:00,email,mobile,0
3485,2024-06-16 09:48:00,direct,mobile,0
4307,2024-06-20 16:55:00,search,desktop,1
1955,2024-06-09 13:03:00,search,desktop,0
8322,2024-07-07 15:25:00,email,mobile,0
760,2024-06-04 07:19:00,email,desktop,0
7476,2024-07-03 17:09:00,direct,tablet,0
6261,2024-06-28 09:11:00,ad,mobile,0
7944,2024-07-05 16:13:00,search,mobile,0
2604,2024-06-12 15:07:00,search,mobile,0
4189,2024-06-19 09:25:00,ad,mobile,0
8022,2024-07-06 16:10:00,ad,mobile,0
8083,2024-07-06 11:04:00,ad,mobile,0
141,2024-06-01 11:13:00,ad,mobile,0
1231,2024-06-06 08:32:00,ad,mobile,0
5102,2024-06-23 10:07:00,search,desktop,1
8086,2024-07-06 17:14:00,social,mobile,0
3533,2024-06-17 11:29:00,search,tablet,1
7453,2024-07-03 16:51:00,direct,desktop,0
7149,2024-07-02 11:25:00,social,mobile,0
6088,2024-06-28 13:33:00,ad,mobile,0
496,2024-06-03 12:37:00,search,desktop,0
3742,2024-06-17 12:59:00,ad,desktop,0
10312,2024-07-15 14:18:00,email,mobile,0
2041,2024-06-10 13:17:00,ad,mobile,0
9507,2024-07-11 10:03:00,ad,desktop,0
3213,2024-06-15 17:18:00,ad,mobile,0
10392,2024-07-15 10:35:00,ad,mobile,0
9462,2024-07-11 14:06:00,ad,mobile,0
728,2024-06-04 12:43:00,ad,desktop,1
9038,2024-07-09 14:28:00,ad,mobile,0
3609,2024-06-17 10:10:00,ad,mobile,0
8769,2024-07-08 15:10:00,ad,mobile,0
5948,2024-06-27 10:44:00,ad,desktop,0
7140,2024-07-02 16:37:00,direct,desktop,0
7621,2024-07-04 09:48:00,search,mobile,0
